Country,Region,Happiness Rank,Happiness Score,Standard Error,Family,Freedom,Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low,country,happiness_rank,happiness_score,GDP,life_expectancy,freedom,generosity,government_corruption,dystopia_residual,family
Czech Republic,Central and Eastern Europe,31.0,6.505,0.04168,1.20643,0.46364,0.10686,2.67782,2015,,,,,Czech Republic,31.0,6.505,1.17898,0.84483,0.46364,0.10686,0.02652,2.67782,1.20643
Uruguay,Latin America and Caribbean,32.0,6.485,0.04539,1.2089,0.60362,0.2324,2.32142,2015,,,,,Uruguay,32.0,6.485,1.06166,0.8116,0.60362,0.2324,0.24558,2.32142,1.2089
Colombia,Latin America and Caribbean,33.0,6.477,0.05051,1.24018,0.53466,0.18401,2.85737,2015,,,,,Colombia,33.0,6.477,0.91861,0.69077,0.53466,0.18401,0.0512,2.85737,1.24018
Thailand,Southeastern Asia,34.0,6.455,0.03557,1.26504,0.55664,0.5763,2.31945,2015,,,,,Thailand,34.0,6.455,0.9669,0.7385,0.55664,0.5763,0.03187,2.31945,1.26504
Saudi Arabia,Middle East and Northern Africa,35.0,6.411,0.04633,1.08393,0.31048,0.13706,2.43872,2015,,,,,Saudi Arabia,35.0,6.411,1.39541,0.72025,0.31048,0.13706,0.32524,2.43872,1.08393
Spain,Western Europe,36.0,6.329,0.03468,1.31379,0.45951,0.18227,2.12367,2015,,,,,Spain,36.0,6.329,1.23011,0.95562,0.45951,0.18227,0.06398,2.12367,1.31379
Malta,Western Europe,37.0,6.302,0.04206,1.30203,0.60365,0.51752,1.6488,2015,,,,,Malta,37.0,6.302,1.2074,0.88721,0.60365,0.51752,0.13586,1.6488,1.30203
Taiwan,Eastern Asia,38.0,6.298,0.03868,1.07617,0.3974,0.25376,2.32323,2015,,,,,Taiwan,38.0,6.298,1.29098,0.8753,0.3974,0.25376,0.08129,2.32323,1.07617
Kuwait,Middle East and Northern Africa,39.0,6.295,0.04456,1.16594,0.55499,0.16228,1.87634,2015,,,,,Kuwait,39.0,6.295,1.55422,0.72492,0.55499,0.16228,0.25609,1.87634,1.16594
Suriname,Latin America and Caribbean,40.0,6.269,0.09811,0.972,0.59657,0.16991,2.79094,2015,,,,,Suriname,40.0,6.269,0.99534,0.6082,0.59657,0.16991,0.13633,2.79094,0.972
Trinidad and Tobago,Latin America and Caribbean,41.0,6.168,0.10895,1.18354,0.55884,0.31844,2.26882,2015,,,,,Trinidad and Tobago,41.0,6.168,1.21183,0.61483,0.55884,0.31844,0.0114,2.26882,1.18354
El Salvador,Latin America and Caribbean,42.0,6.13,0.05618,1.02507,0.4035,0.10692,3.035,2015,,,,,El Salvador,42.0,6.13,0.76454,0.67737,0.4035,0.10692,0.11776,3.035,1.02507
Guatemala,Latin America and Caribbean,43.0,6.123,0.05224,1.04356,0.57733,0.27489,2.74255,2015,,,,,Guatemala,43.0,6.123,0.74553,0.64425,0.57733,0.27489,0.09472,2.74255,1.04356
Uzbekistan,Central and Eastern Europe,44.0,6.003,0.04361,1.34043,0.65821,0.22837,2.23741,2015,,,,,Uzbekistan,44.0,6.003,0.63244,0.59772,0.65821,0.22837,0.30826,2.23741,1.34043
Slovakia,Central and Eastern Europe,45.0,5.995,0.04267,1.26999,0.31751,0.16893,2.24639,2015,,,,,Slovakia,45.0,5.995,1.16891,0.78902,0.31751,0.16893,0.03431,2.24639,1.26999
Japan,Eastern Asia,46.0,5.987,0.03581,1.25712,0.49615,0.10705,1.68435,2015,,,,,Japan,46.0,5.987,1.27074,0.99111,0.49615,0.10705,0.1806,1.68435,1.25712
South Korea,Eastern Asia,47.0,5.984,0.04098,0.95774,0.33208,0.18557,2.21978,2015,,,,,South Korea,47.0,5.984,1.24461,0.96538,0.33208,0.18557,0.07857,2.21978,0.95774
Ecuador,Latin America and Caribbean,48.0,5.975,0.04528,0.99903,0.48574,0.11541,2.53942,2015,,,,,Ecuador,48.0,5.975,0.86402,0.79075,0.48574,0.11541,0.1809,2.53942,0.99903
Bahrain,Middle East and Northern Africa,49.0,5.96,0.05412,1.21624,0.45492,0.17362,1.73797,2015,,,,,Bahrain,49.0,5.96,1.32376,0.74716,0.45492,0.17362,0.306,1.73797,1.21624
Italy,Western Europe,50.0,5.948,0.03914,1.19777,0.26236,0.22823,2.02518,2015,,,,,Italy,50.0,5.948,1.25114,0.95446,0.26236,0.22823,0.02901,2.02518,1.19777
Bolivia,Latin America and Caribbean,51.0,5.89,0.05642,0.97841,0.57414,0.20536,2.82334,2015,,,,,Bolivia,51.0,5.89,0.68133,0.5392,0.57414,0.20536,0.088,2.82334,0.97841
Moldova,Central and Eastern Europe,52.0,5.889,0.03799,1.01528,0.32818,0.20951,3.10712,2015,,,,,Moldova,52.0,5.889,0.59448,0.61826,0.32818,0.20951,0.01615,3.10712,1.01528
Paraguay,Latin America and Caribbean,53.0,5.878,0.04563,1.30477,0.53899,0.3424,2.18896,2015,,,,,Paraguay,53.0,5.878,0.75985,0.66098,0.53899,0.3424,0.08242,2.18896,1.30477
Kazakhstan,Central and Eastern Europe,54.0,5.855,0.04114,1.12241,0.51649,0.11827,2.24729,2015,,,,,Kazakhstan,54.0,5.855,1.12254,0.64368,0.51649,0.11827,0.08454,2.24729,1.12241
Slovenia,Central and Eastern Europe,55.0,5.848,0.04251,1.27385,0.60855,0.25328,1.61583,2015,,,,,Slovenia,55.0,5.848,1.18498,0.87337,0.60855,0.25328,0.03787,1.61583,1.27385
Lithuania,Central and Eastern Europe,56.0,5.833,0.03843,1.25745,0.21342,0.02641,2.44649,2015,,,,,Lithuania,56.0,5.833,1.14723,0.73128,0.21342,0.02641,0.01031,2.44649,1.25745
Nicaragua,Latin America and Caribbean,57.0,5.828,0.05371,1.14184,0.55475,0.27815,2.32407,2015,,,,,Nicaragua,57.0,5.828,0.59325,0.74314,0.55475,0.27815,0.19317,2.32407,1.14184
Peru,Latin America and Caribbean,58.0,5.824,0.04615,0.97459,0.41496,0.14982,2.5945,2015,,,,,Peru,58.0,5.824,0.90019,0.73017,0.41496,0.14982,0.05989,2.5945,0.97459
Belarus,Central and Eastern Europe,59.0,5.813,0.03938,1.23289,0.37938,0.11046,2.1309,2015,,,,,Belarus,59.0,5.813,1.03192,0.73608,0.37938,0.11046,0.1909,2.1309,1.23289
Poland,Central and Eastern Europe,60.0,5.791,0.04263,1.27948,0.53122,0.16759,1.86565,2015,,,,,Poland,60.0,5.791,1.12555,0.77903,0.53122,0.16759,0.04212,1.86565,1.27948
Malaysia,Southeastern Asia,61.0,5.77,0.0433,1.07023,0.53024,0.33075,1.88541,2015,,,,,Malaysia,61.0,5.77,1.12486,0.72394,0.53024,0.33075,0.10501,1.88541,1.07023
Croatia,Central and Eastern Europe,62.0,5.759,0.04394,0.79624,0.25883,0.05444,2.75414,2015,,,,,Croatia,62.0,5.759,1.08254,0.78805,0.25883,0.05444,0.0243,2.75414,0.79624
Libya,Middle East and Northern Africa,63.0,5.754,0.07832,1.11862,0.41668,0.18295,2.09066,2015,,,,,Libya,63.0,5.754,1.13145,0.7038,0.41668,0.18295,0.11023,2.09066,1.11862
Russia,Central and Eastern Europe,64.0,5.716,0.03135,1.23617,0.36679,0.00199,2.27394,2015,,,,,Russia,64.0,5.716,1.13764,0.66926,0.36679,0.00199,0.03005,2.27394,1.23617
Jamaica,Latin America and Caribbean,65.0,5.709,0.13693,1.15102,0.50442,0.2123,2.32038,2015,,,,,Jamaica,65.0,5.709,0.81038,0.68741,0.50442,0.2123,0.02299,2.32038,1.15102
North Cyprus,Western Europe,66.0,5.695,0.05635,1.07008,0.49027,0.26169,1.59888,2015,,,,,North Cyprus,66.0,5.695,1.20806,0.92356,0.49027,0.26169,0.1428,1.59888,1.07008
Cyprus,Western Europe,67.0,5.689,0.0558,0.89318,0.40672,0.30638,1.88931,2015,,,,,Cyprus,67.0,5.689,1.20813,0.92356,0.40672,0.30638,0.06146,1.88931,0.89318
Algeria,Middle East and Northern Africa,68.0,5.605,0.05099,1.07772,0.28579,0.07822,2.43209,2015,,,,,Algeria,68.0,5.605,0.93929,0.61766,0.28579,0.07822,0.17383,2.43209,1.07772
Kosovo,Central and Eastern Europe,69.0,5.589,0.05018,0.81198,0.24749,0.2831,2.76579,2015,,,,,Kosovo,69.0,5.589,0.80148,0.63132,0.24749,0.2831,0.04741,2.76579,0.81198
Turkmenistan,Central and Eastern Europe,70.0,5.548,0.04175,1.22668,0.4761,0.16979,1.86984,2015,,,,,Turkmenistan,70.0,5.548,0.95847,0.53886,0.4761,0.16979,0.30844,1.86984,1.22668
Mauritius,Sub-Saharan Africa,71.0,5.477,0.07197,0.98521,0.56066,0.37744,1.76145,2015,,,,,Mauritius,71.0,5.477,1.00761,0.7095,0.56066,0.37744,0.07521,1.76145,0.98521
Hong Kong,Eastern Asia,72.0,5.474,0.05051,1.05818,0.59608,0.39478,0.65429,2015,,,,,Hong Kong,72.0,5.474,1.38604,1.01328,0.59608,0.39478,0.37124,0.65429,1.05818
Estonia,Central and Eastern Europe,73.0,5.429,0.04013,1.22791,0.44888,0.0868,1.58782,2015,,,,,Estonia,73.0,5.429,1.15174,0.77361,0.44888,0.0868,0.15184,1.58782,1.22791
Indonesia,Southeastern Asia,74.0,5.399,0.02596,1.08708,0.46611,0.51535,1.86399,2015,,,,,Indonesia,74.0,5.399,0.82827,0.63793,0.46611,0.51535,0.0,1.86399,1.08708
Vietnam,Southeastern Asia,75.0,5.36,0.03107,0.91226,0.59444,0.1686,2.20173,2015,,,,,Vietnam,75.0,5.36,0.63216,0.74676,0.59444,0.1686,0.10441,2.20173,0.91226
Turkey,Middle East and Northern Africa,76.0,5.332,0.03864,0.94632,0.22815,0.12253,2.08528,2015,,,,,Turkey,76.0,5.332,1.06098,0.73172,0.22815,0.12253,0.15746,2.08528,0.94632
Kyrgyzstan,Central and Eastern Europe,77.0,5.286,0.03823,1.15115,0.43477,0.3003,2.2327,2015,,,,,Kyrgyzstan,77.0,5.286,0.47428,0.65088,0.43477,0.3003,0.04232,2.2327,1.15115
Nigeria,Sub-Saharan Africa,78.0,5.268,0.04192,0.90432,0.34334,0.27233,2.89319,2015,,,,,Nigeria,78.0,5.268,0.65435,0.16007,0.34334,0.27233,0.0403,2.89319,0.90432
Bhutan,Southern Asia,79.0,5.253,0.03225,1.10395,0.53206,0.47998,1.63794,2015,,,,,Bhutan,79.0,5.253,0.77042,0.57407,0.53206,0.47998,0.15445,1.63794,1.10395
Azerbaijan,Central and Eastern Europe,80.0,5.212,0.03363,0.93793,0.3703,0.07799,2.00073,2015,,,,,Azerbaijan,80.0,5.212,1.02389,0.64045,0.3703,0.07799,0.16065,2.00073,0.93793
Pakistan,Southern Asia,81.0,5.194,0.03726,0.41411,0.12102,0.33671,3.10709,2015,,,,,Pakistan,81.0,5.194,0.59543,0.51466,0.12102,0.33671,0.10464,3.10709,0.41411
Jordan,Middle East and Northern Africa,82.0,5.192,0.04524,1.05392,0.40661,0.11053,1.87996,2015,,,,,Jordan,82.0,5.192,0.90198,0.69639,0.40661,0.11053,0.14293,1.87996,1.05392
Montenegro,Central and Eastern Europe,82.0,5.192,0.05235,0.90557,0.1826,0.1614,2.10017,2015,,,,,Montenegro,82.0,5.192,0.97438,0.72521,0.1826,0.1614,0.14296,2.10017,0.90557
China,Eastern Asia,84.0,5.14,0.02424,0.94675,0.51697,0.08185,1.8604,2015,,,,,China,84.0,5.14,0.89012,0.81658,0.51697,0.08185,0.02781,1.8604,0.94675
Zambia,Sub-Saharan Africa,85.0,5.129,0.06988,0.91612,0.48827,0.19591,2.6343,2015,,,,,Zambia,85.0,5.129,0.47038,0.29924,0.48827,0.19591,0.12468,2.6343,0.91612
Romania,Central and Eastern Europe,86.0,5.124,0.06607,0.88588,0.35068,0.13748,1.93129,2015,,,,,Romania,86.0,5.124,1.04345,0.7689,0.35068,0.13748,0.00649,1.93129,0.88588
Serbia,Central and Eastern Europe,87.0,5.123,0.04864,1.00964,0.20107,0.19231,2.025,2015,,,,,Serbia,87.0,5.123,0.92053,0.74836,0.20107,0.19231,0.02617,2.025,1.00964
Portugal,Western Europe,88.0,5.102,0.04802,1.13935,0.51469,0.13719,1.26462,2015,,,,,Portugal,88.0,5.102,1.15991,0.87519,0.51469,0.13719,0.01078,1.26462,1.13935
Latvia,Central and Eastern Europe,89.0,5.098,0.0464,1.09562,0.29671,0.18226,1.62215,2015,,,,,Latvia,89.0,5.098,1.11312,0.72437,0.29671,0.18226,0.06332,1.62215,1.09562
Philippines,Southeastern Asia,90.0,5.073,0.04934,1.03516,0.62545,0.24991,1.7536,2015,,,,,Philippines,90.0,5.073,0.70532,0.58114,0.62545,0.24991,0.12279,1.7536,1.03516
Somaliland region,Sub-Saharan Africa,91.0,5.057,0.06161,0.95152,0.46582,0.50318,2.11032,2015,,,,,Somaliland region,91.0,5.057,0.18847,0.43873,0.46582,0.50318,0.39928,2.11032,0.95152
Morocco,Middle East and Northern Africa,92.0,5.013,0.0342,0.64095,0.41691,0.07172,2.45373,2015,,,,,Morocco,92.0,5.013,0.73479,0.60954,0.41691,0.07172,0.08546,2.45373,0.64095
Macedonia,Central and Eastern Europe,93.0,5.007,0.05376,1.00232,0.33457,0.22359,1.73933,2015,,,,,Macedonia,93.0,5.007,0.91851,0.73545,0.33457,0.22359,0.05327,1.73933,1.00232
Mozambique,Sub-Saharan Africa,94.0,4.971,0.07896,1.02626,0.34037,0.22269,3.05137,2015,,,,,Mozambique,94.0,4.971,0.08308,0.09131,0.34037,0.22269,0.15603,3.05137,1.02626
Albania,Central and Eastern Europe,95.0,4.959,0.05013,0.80434,0.35733,0.14272,1.89894,2015,,,,,Albania,95.0,4.959,0.87867,0.81325,0.35733,0.14272,0.06413,1.89894,0.80434
Bosnia and Herzegovina,Central and Eastern Europe,96.0,4.949,0.06913,0.91916,0.09245,0.24808,2.06367,2015,,,,,Bosnia and Herzegovina,96.0,4.949,0.83223,0.79081,0.09245,0.24808,0.00227,2.06367,0.91916
Lesotho,Sub-Saharan Africa,97.0,4.898,0.09438,1.04103,0.31767,0.16388,2.79832,2015,,,,,Lesotho,97.0,4.898,0.37545,0.07612,0.31767,0.16388,0.12504,2.79832,1.04103
Dominican Republic,Latin America and Caribbean,98.0,4.885,0.07446,1.17202,0.57672,0.21684,1.21305,2015,,,,,Dominican Republic,98.0,4.885,0.89537,0.66825,0.57672,0.21684,0.14234,1.21305,1.17202
Laos,Southeastern Asia,99.0,4.876,0.06698,0.73803,0.59591,0.42192,1.73799,2015,,,,,Laos,99.0,4.876,0.59066,0.54909,0.59591,0.42192,0.24249,1.73799,0.73803
Mongolia,Eastern Asia,100.0,4.874,0.03313,1.3006,0.43626,0.3323,1.34759,2015,,,,,Mongolia,100.0,4.874,0.82819,0.60268,0.43626,0.3323,0.02666,1.34759,1.3006
Swaziland,Sub-Saharan Africa,101.0,4.867,0.08742,1.07284,0.30658,0.18259,2.48676,2015,,,,,Swaziland,101.0,4.867,0.71206,0.07566,0.30658,0.18259,0.0306,2.48676,1.07284
Greece,Western Europe,102.0,4.857,0.05062,0.92933,0.07699,0.0,1.80101,2015,,,,,Greece,102.0,4.857,1.15406,0.88213,0.07699,0.0,0.01397,1.80101,0.92933
Lebanon,Middle East and Northern Africa,103.0,4.839,0.04337,0.80001,0.33916,0.21854,1.57059,2015,,,,,Lebanon,103.0,4.839,1.02564,0.83947,0.33916,0.21854,0.04582,1.57059,0.80001
Hungary,Central and Eastern Europe,104.0,4.8,0.06107,1.20215,0.32112,0.128,1.24074,2015,,,,,Hungary,104.0,4.8,1.12094,0.75905,0.32112,0.128,0.02758,1.24074,1.20215
Honduras,Latin America and Caribbean,105.0,4.788,0.05648,0.95348,0.40148,0.23027,1.84408,2015,,,,,Honduras,105.0,4.788,0.59532,0.6951,0.40148,0.23027,0.06825,1.84408,0.95348
Tajikistan,Central and Eastern Europe,106.0,4.786,0.03198,0.85563,0.47216,0.22974,2.11399,2015,,,,,Tajikistan,106.0,4.786,0.39047,0.57379,0.47216,0.22974,0.15072,2.11399,0.85563
Tunisia,Middle East and Northern Africa,107.0,4.739,0.03589,0.60429,0.26268,0.06431,2.12466,2015,,,,,Tunisia,107.0,4.739,0.88113,0.73793,0.26268,0.06431,0.06358,2.12466,0.60429
Palestinian Territories,Middle East and Northern Africa,108.0,4.715,0.04394,0.92558,0.24499,0.11251,2.04384,2015,,,,,Palestinian Territories,108.0,4.715,0.59867,0.66015,0.24499,0.11251,0.12905,2.04384,0.92558
Bangladesh,Southern Asia,109.0,4.694,0.03077,0.43106,0.4082,0.21222,2.51767,2015,,,,,Bangladesh,109.0,4.694,0.39753,0.60164,0.4082,0.21222,0.12569,2.51767,0.43106
Iran,Middle East and Northern Africa,110.0,4.686,0.04449,0.54447,0.30033,0.38086,1.6944,2015,,,,,Iran,110.0,4.686,1.0088,0.69805,0.30033,0.38086,0.05863,1.6944,0.54447
Ukraine,Central and Eastern Europe,111.0,4.681,0.04412,1.20278,0.25123,0.15275,1.5714,2015,,,,,Ukraine,111.0,4.681,0.79907,0.6739,0.25123,0.15275,0.02961,1.5714,1.20278
Iraq,Middle East and Northern Africa,112.0,4.677,0.05232,0.81889,0.0,0.17922,1.95335,2015,,,,,Iraq,112.0,4.677,0.98549,0.60237,0.0,0.17922,0.13788,1.95335,0.81889
South Africa,Sub-Saharan Africa,113.0,4.642,0.04585,1.18468,0.33207,0.11973,1.71956,2015,,,,,South Africa,113.0,4.642,0.92049,0.27688,0.33207,0.11973,0.08884,1.71956,1.18468
Ghana,Sub-Saharan Africa,114.0,4.633,0.04742,0.67954,0.42342,0.23087,2.30919,2015,,,,,Ghana,114.0,4.633,0.54558,0.40132,0.42342,0.23087,0.04355,2.30919,0.67954
Zimbabwe,Sub-Saharan Africa,115.0,4.61,0.0429,1.03276,0.25861,0.18987,2.44191,2015,,,,,Zimbabwe,115.0,4.61,0.271,0.33475,0.25861,0.18987,0.08079,2.44191,1.03276
Liberia,Sub-Saharan Africa,116.0,4.571,0.11068,0.78968,0.28531,0.24362,2.77729,2015,,,,,Liberia,116.0,4.571,0.0712,0.34201,0.28531,0.24362,0.06232,2.77729,0.78968
India,Southern Asia,117.0,4.565,0.02043,0.38174,0.39786,0.26475,2.27513,2015,,,,,India,117.0,4.565,0.64499,0.51529,0.39786,0.26475,0.08492,2.27513,0.38174
Sudan,Sub-Saharan Africa,118.0,4.55,0.0674,1.01404,0.10081,0.19062,2.20857,2015,,,,,Sudan,118.0,4.55,0.52107,0.36878,0.10081,0.19062,0.1466,2.20857,1.01404
Haiti,Latin America and Caribbean,119.0,4.518,0.07331,0.74302,0.24425,0.46187,2.24173,2015,,,,,Haiti,119.0,4.518,0.26673,0.38847,0.24425,0.46187,0.17175,2.24173,0.74302
Congo (Kinshasa),Sub-Saharan Africa,120.0,4.517,0.0368,1.0012,0.22605,0.24834,2.86712,2015,,,,,Congo (Kinshasa),120.0,4.517,0.0,0.09806,0.22605,0.24834,0.07625,2.86712,1.0012
Nepal,Southern Asia,121.0,4.514,0.03607,0.86449,0.38282,0.32296,1.95637,2015,,,,,Nepal,121.0,4.514,0.35997,0.56874,0.38282,0.32296,0.05907,1.95637,0.86449
Ethiopia,Sub-Saharan Africa,122.0,4.512,0.0378,0.60406,0.4345,0.24325,2.44876,2015,,,,,Ethiopia,122.0,4.512,0.19073,0.44055,0.4345,0.24325,0.15048,2.44876,0.60406
Sierra Leone,Sub-Saharan Africa,123.0,4.507,0.07068,0.95571,0.4084,0.21488,2.51009,2015,,,,,Sierra Leone,123.0,4.507,0.33024,0.0,0.4084,0.21488,0.08786,2.51009,0.95571
Mauritania,Sub-Saharan Africa,124.0,4.436,0.03947,0.86908,0.24232,0.219,2.11773,2015,,,,,Mauritania,124.0,4.436,0.45407,0.35874,0.24232,0.219,0.17461,2.11773,0.86908
Kenya,Sub-Saharan Africa,125.0,4.419,0.04734,0.99876,0.42215,0.37542,1.78555,2015,,,,,Kenya,125.0,4.419,0.36471,0.41435,0.42215,0.37542,0.05839,1.78555,0.99876
Djibouti,Sub-Saharan Africa,126.0,4.369,0.08096,0.59207,0.46074,0.18093,2.05125,2015,,,,,Djibouti,126.0,4.369,0.44025,0.36291,0.46074,0.18093,0.28105,2.05125,0.59207
Armenia,Central and Eastern Europe,127.0,4.35,0.04763,0.77711,0.19847,0.07855,1.75873,2015,,,,,Armenia,127.0,4.35,0.76821,0.7299,0.19847,0.07855,0.039,1.75873,0.77711
Botswana,Sub-Saharan Africa,128.0,4.332,0.04934,1.10464,0.49495,0.10461,1.46181,2015,,,,,Botswana,128.0,4.332,0.99355,0.04776,0.49495,0.10461,0.12474,1.46181,1.10464
Myanmar,Southeastern Asia,129.0,4.307,0.04351,0.70905,0.44017,0.79588,1.41805,2015,,,,,Myanmar,129.0,4.307,0.27108,0.48246,0.44017,0.79588,0.19034,1.41805,0.70905
Georgia,Central and Eastern Europe,130.0,4.297,0.04221,0.38562,0.40577,0.05547,1.59541,2015,,,,,Georgia,130.0,4.297,0.7419,0.72926,0.40577,0.05547,0.38331,1.59541,0.38562
Malawi,Sub-Saharan Africa,131.0,4.292,0.0613,0.41134,0.43054,0.33128,2.80791,2015,,,,,Malawi,131.0,4.292,0.01604,0.22562,0.43054,0.33128,0.06977,2.80791,0.41134
